track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
A Beautiful Breath - Strings Version,https://open.spotify.com/track/7IIUERPVEl0S4v3iU8vpIs,A Beautiful Breath (Strings Version),https://open.spotify.com/album/39L61jnHerFaIwk50gcjUd,Melody Lake,https://open.spotify.com/artist/1we36odvLMnv4ESemMwWs7,2024-02-09,60945,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Beautiful Breath Arr. For Cello,https://open.spotify.com/track/3FFCmiCJuQ2uvli1Lue7wQ,A Beautiful Breath,https://open.spotify.com/album/1kowmDOIElLCmb8dRjgYGX,Melody Lake,https://open.spotify.com/artist/1we36odvLMnv4ESemMwWs7,2023-04-19,61500,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Beginning - Piano Version,https://open.spotify.com/track/2Cg4QjXC5BghtcBpJFt5A4,Harp and Piano Lullabies,https://open.spotify.com/album/67Snvekmj1dkwpIU4CJUi7,Willow Valley,https://open.spotify.com/artist/28WCFFMetDFIT9o2Xluc31,2024-01-29,64153,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Beginning - Strings Version,https://open.spotify.com/track/13vDJ3GqHDBezeKB4iOket,A Beginning,https://open.spotify.com/album/4EsyQZIbrze35gVnhd73r1,Ivory Light,https://open.spotify.com/artist/3hSDOhq2hmStY6xAOHxvmi,2023-05-14,65357,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Blue Sunrise,https://open.spotify.com/track/6bvWzJXs8h2hmbDoZ9jIDM,Currents,https://open.spotify.com/album/6xenbwcMJMFqQazIVhiF6v,Wandering River,https://open.spotify.com/artist/68MLCS299SINsPPPTnMZRK,2024-01-29,75125,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Breath,https://open.spotify.com/track/0ZzZDur4DrOho16B99ROQV,A Breath,https://open.spotify.com/album/5n9lLKX1wk7zyXNILnO2eK,Harmony Night,https://open.spotify.com/artist/6K8fbHqOwXN8ceY71ipjdY,2023-05-14,65950,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Brief Connection,https://open.spotify.com/track/5C9VTh5ESzffg7XvB0v0eh,Piano Echoes,https://open.spotify.com/album/10VMBZPmdJ9Q6otUSugzTp,Ivory Light,https://open.spotify.com/artist/3hSDOhq2hmStY6xAOHxvmi,2022-01-12,77076,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Long Embrace,https://open.spotify.com/track/1OuxNB2yKrP0wdKh16gMCP,Waves Of Love,https://open.spotify.com/album/5ChteC7FRIuqgnbgb1NbxM,Beyond Stillness,https://open.spotify.com/artist/42iQ19B2la2mcUZAksaIo8,2022-05-14,60923,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Lovely Time,https://open.spotify.com/track/0mS4WBij4LV97ke9ncpf0G,A Lovely Time,https://open.spotify.com/album/4lYPUQP9AJK2KigdzhGVhg,Open Blue Sky,https://open.spotify.com/artist/0G1U8wfQEhTYRtBPel0hlC,2024-02-09,60899,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Lovely Time - Strings Version,https://open.spotify.com/track/1NvKodMNeu60B8D7jUCwEa,A Lovely Time (Strings Version),https://open.spotify.com/album/3J4DyMF8EjsGM1xZ9dRdJu,Open Blue Sky,https://open.spotify.com/artist/0G1U8wfQEhTYRtBPel0hlC,2024-02-09,60899,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
A Quiet Time,https://open.spotify.com/track/0giTsMHJ9uIJs1v5RKFuJC,Sunrise,https://open.spotify.com/album/4KWQdvYkfCatSafb1o5vCR,Open Blue Sky,https://open.spotify.com/artist/0G1U8wfQEhTYRtBPel0hlC,2022-01-20,86566,2022-10-03,Beautiful instrumental music to keep you in the flow as you code or study. An ideal playlist for programming during stressful times --- | program | programmer | software | software engineer | computer science | concentrate | concentration | focusing |,CODING FOCUS
