track_name,track_url,album_name,album_url,artist_name,artist_url,date_added,duration_ms,date_first_scraped,description,playlist_name
"40 - From the Prime Video Original Series, House of David",https://open.spotify.com/track/4l3fTWUbeRxu7EoYEzn4Gr,"40 (From the Prime Video Original Series, House of David)",https://open.spotify.com/album/3GXViA0A7o2UVXLpFCnUmp,for KING & COUNTRY,https://open.spotify.com/artist/3sDbKMebVH2VYcRSl7u1VC,2025-02-07,209014,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
[close to me],https://open.spotify.com/track/74ZyA0thjNZ5CMHaT2qLyI,[close to me],https://open.spotify.com/album/4zJOypBETBxz0mt8jOXh1d,All Creatures,https://open.spotify.com/artist/2YgZPJl3jMabwzd1UZONon,2022-02-17,168600,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
[welcome to the garden],https://open.spotify.com/track/59DiEYQhcAV7XNp9H8ldHK,[welcome to the garden],https://open.spotify.com/album/2vsnx7y7uJ9iXr40qkgQlu,All Creatures,https://open.spotify.com/artist/2YgZPJl3jMabwzd1UZONon,2023-01-25,201000,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
[wonder working],https://open.spotify.com/track/6KdS6nIKd0YKjukYsnj6IX,[wonder working],https://open.spotify.com/album/1CslCV4Trf529mhODsZVRx,All Creatures,https://open.spotify.com/artist/2YgZPJl3jMabwzd1UZONon,2022-02-17,181045,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
A BEAUTIFUL LIFE,https://open.spotify.com/track/0YRY2NKNTbq6T1KJ9ngbsu,A BEAUTIFUL LIFE,https://open.spotify.com/album/5bY2uh7ACqw1UZYfv0ED9f,Alexander Pappas,https://open.spotify.com/artist/5bjQjhv3Zzxo1VoxGcyaHC,2022-02-17,231481,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
A Thousand Hallelujahs - Live,https://open.spotify.com/track/0yQNofkmcY7exdnWvjTUHu,A Thousand Hallelujahs (Live),https://open.spotify.com/album/5Lc6XxnPUfunAvhY5I6lxV,Brooke Ligertwood,https://open.spotify.com/artist/7iETGaxJ4crz3qaljDPCKC,2022-02-17,309329,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
A Town on Fire,https://open.spotify.com/track/0onY55pvGLfNuD9xv1TChB,The Chosen: Season One (Original Series Soundtrack),https://open.spotify.com/album/5zuT34fr3AyhgqaRc8p2Fh,"The Chosen, Matthew S. Nelson, Dan Haseltine, Ruby Amanfu","https://open.spotify.com/artist/4zaS9mItqCC5OQpML2VDu2, https://open.spotify.com/artist/1dXJAAJa0ULu7x1Tk3jNoE, https://open.spotify.com/artist/4GN20tFlTgRDVKVltkq5Y1, https://open.spotify.com/artist/1lpu6LF7kS0bfnu43pi2u0",2024-01-18,187720,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
Aftermath - Live,https://open.spotify.com/track/2TKhEm8NfPQjhBjEKYwsEJ,Hillsong – Let Hope Rise (Live/Original Motion Picture Soundtrack),https://open.spotify.com/album/2ffdIV1LbjNv7K0qUM1TY9,Hillsong UNITED,https://open.spotify.com/artist/74cb3MG0x0BOnYNW1uXYnM,2024-01-18,512426,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
Ain't Nobody - Radio Version,https://open.spotify.com/track/2iNzuYDmmD8dgEMLEaEpTx,Ain't Nobody,https://open.spotify.com/album/7fhnMJOjUfoIpU10Vrknv2,Cody Carnes,https://open.spotify.com/artist/7apN8bBgl19E0Ona9pvPq0,2022-09-02,213967,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
Alive,https://open.spotify.com/track/4xG2EUEUnmSfAIMt5xdQoa,ALIVE (VERSIONS),https://open.spotify.com/album/3fjEBRJZDBChnCdRpGyMDa,NONAH,https://open.spotify.com/artist/76SJxLztAMHPMieGTNZPeI,2022-04-01,160000,2022-03-01,"Christian Soundtracks (Movie + TV) 2025 | &quot;I could never choose to love another, maybe one day I can learn to love you too...&quot; | Music from Christian Movies and TV that we all know and love! Cover: <a href=""https://www.journeytobethlehemmovie.com/"">Cast of Journey To Bethlehem</a>",Christian Soundtracks (Movie + TV) 2025
